AACN Clinical Issues	AACN Clin. Issues	AACN Clin Issues	
Advances in Behavioral Biology	Adv. Behav. Biol.	Adv Behav Biol	
Advances in Biochemical Engineering/Biotechnology	Adv. Biochem. Eng. Biotechnol.	Adv Biochem Eng Biotechnol	
Advances in Biochemical Psychopharmacology	Adv. Biochem. Psychopharmacol.	Adv Biochem Psychopharmacol	
Advances in Biological and Medical Physics	Adv. Biol. Med. Phys.	Adv Biol Med Phys	Advances in Biological & Medical Physics
Advances in Biology of Skin	Adv. Biol. Skin	Adv Biol Skin	
Advances in Biomedical Engineering and Medical Physics	Adv. Biomed. Eng. Med. Phys.	Adv Biomed Eng Med Phys	Advances in Biomedical Engineering & Medical Physics
Advances in Biophysics	Adv. Biophys.	Adv Biophys	
Advances in Biotechnological Processes	Adv. Biotechnol. Processes	Adv Biotechnol Processes	
Advances in Cancer Research	Adv. Cancer Res.	Adv Cancer Res	
Advances in Carbohydrate Chemistry and Biochemistry	Adv. Carbohydr. Chem. Biochem.	Adv Carbohydr Chem Biochem	Advances in Carbohydrate Chemistry & Biochemistry
Advances in Cardiac Surgery	Adv. Card. Surg.	Adv Card Surg	
Advances in Cardiology	Adv. Cardiol.	Adv Cardiol	
Advances in Cardiopulmonary Diseases	Adv. Cardiopulm. Dis.	Adv Cardiopulm Dis	
Advances in Cell Biology	Adv. Cell Biol.	Adv Cell Biol	
Advances in Chemotherapy	Adv. Chemother.	Adv Chemother	
Advances in Child Development and Behavior	Adv. Child Dev. Behav.	Adv Child Dev Behav	Advances in Child Development & Behavior
Advances in Chromatography	Adv. Chromatogr.	Adv Chromatogr	
Advances in Clinical Chemistry	Adv. Clin. Chem.	Adv Clin Chem	
Advances in Clinical Pathology : The Official Journal of Adriatic Society of Pathology	Adv. Clin. Path.	Adv Clin Path	
Advances in Clinical Pharmacology	Adv. Clin. Pharmacol.	Adv Clin Pharmacol	
Advances in Clinical Rehabilitation	Adv. Clin. Rehabil.	Adv Clin Rehabil	
Advances in Colloid and Interface Science	Adv. Colloid Interface Sci.	Adv Colloid Interface Sci	Advances in Colloid & Interface Science
Advances in Comparative Physiology and Biochemistry	Adv. Comp. Physiol. Biochem.	Adv Comp Physiol Biochem	Advances in Comparative Physiology & Biochemistry
Advances in Contraception	Adv. Contracept.	Adv Contracept	
Advances in Cyclic Nucleotide and Protein Phosphorylation Research	Adv. Cyclic Nucleotide Protein Phosphorylation Res.	Adv Cyclic Nucleotide Protein Phosphorylation Res	Advances in Cyclic Nucleotide & Protein Phosphorylation Research
Advances in Cyclic Nucleotide Research	Adv. Cyclic Nucleotide Res.	Adv Cyclic Nucleotide Res	
Advances in Cytopharmacology	Adv. Cytopharmacol.	Adv Cytopharmacol	
Advances in Dental Research	Adv. Dent. Res.	Adv Dent Res	
Advances in Dermatology	Adv. Dermatol.	Adv Dermatol	
Advances in Drug Research	Adv. Drug Res.	Adv Drug Res	
Advances in Endocrinology and Metabolism	Adv. Endocrinol. Metab.	Adv Endocrinol Metab	Advances in Endocrinology & Metabolism
Advances in Enzyme Regulation	Adv. Enzyme Regul.	Adv Enzyme Regul	
Advances in Enzymology and Related Areas of Molecular Biology	Adv. Enzymol. Relat. Areas Mol. Biol.	Adv Enzymol Relat Areas Mol Biol	Advances in Enzymology & Related Areas of Molecular Biology
Advances in Experimental Medicine and Biology	Adv. Exp. Med. Biol.	Adv Exp Med Biol	Advances in Experimental Medicine & Biology
Advances in Fluorine Research and Dental Caries Prevention	Adv. Fluorine Res.	Adv Fluorine Res	Advances in Fluorine Research & Dental Caries Prevention
Advances in Food and Nutrition Research	Adv. Food Nutr. Res.	Adv Food Nutr Res	Advances in Food & Nutrition Research
Advances in Food Research	Adv. Food Res.	Adv Food Res	
Advances in Food Research. Supplement	Adv. Food Res. Suppl.	Adv Food Res Suppl	
Advances in Genetics	Adv. Genet.	Adv Genet	
Advances in Gerontological Research	Adv. Gerontol. Res.	Adv Gerontol Res	
Advances in Health Economics and Health Services Research	Adv. Health Econ. Health Serv. Res.	Adv Health Econ Health Serv Res	Advances in Health Economics & Health Services Research
Advances in Health Economics and Health Services Research. Supplement	Adv. Health Econ. Health Serv. Res. Suppl.	Adv Health Econ Health Serv Res Suppl	Advances in Health Economics & Health Services Research. Supplement
Advances in Heterocyclic Chemistry	Adv. Heterocycl. Chem.	Adv Heterocycl Chem	
Advances in Human Genetics	Adv. Hum. Genet.	Adv Hum Genet	
Advances in Immunity and Cancer Therapy	Adv. Immun. Cancer Ther.	Adv Immun Cancer Ther	Advances in Immunity & Cancer Therapy
Advances in Immunology	Adv. Immunol.	Adv Immunol	
Advances in Inorganic Biochemistry	Adv. Inorg. Biochem.	Adv Inorg Biochem	
Advances in Internal Medicine	Adv. Intern. Med.	Adv Intern Med	
Advances in Lipid Research	Adv. Lipid Res.	Adv Lipid Res	
Advances in Metabolic Disorders	Adv. Metab. Disord.	Adv Metab Disord	
Advances in Microbial Physiology	Adv. Microb. Physiol.	Adv Microb Physiol	
Advances in Mind-Body Medicine	Adv. Mind. Body Med.	Adv Mind Body Med	
Advances in Morphogenesis	Adv. Morphog.	Adv Morphog	
Advances in Myocardiology	Adv. Myocardiol.	Adv Myocardiol	
Advances in Nephrology from the Necker Hospital	Adv. Nephrol. Necker Hosp.	Adv Nephrol Necker Hosp	
Advances in Neuroimmunology	Adv. Neuroimmunol.	Adv Neuroimmunol	
Advances in Neurology	Adv. Neurol.	Adv Neurol	
Advances in Nutritional Research	Adv. Nutr. Res.	Adv Nutr Res	
Advances in Ophthalmic, Plastic, and Reconstructive Surgery	Adv. Ophthalmic. Plast. Reconstr. Surg.	Adv Ophthalmic Plast Reconstr Surg	Advances in Ophthalmic, Plastic, & Reconstructive Surgery
Advances in Ophthalmology	Adv. Ophthalmol.	Adv Ophthalmol	
Advances in Oral Biology	Adv. Oral Biol.	Adv Oral Biol	
Advances in Oto-Rhino-Laryngology	Adv. Otorhinolaryngol.	Adv Otorhinolaryngol	
Advances in Parasitology	Adv. Parasitol.	Adv Parasitol	
Advances in Pathobiology	Adv. Pathobiol.	Adv Pathobiol	
Advances in Pediatric Infectious Diseases	Adv. Pediatr. Infect. Dis.	Adv Pediatr Infect Dis	
Advances in Pediatrics	Adv. Pediatr.	Adv Pediatr	
Advances in Peritoneal Dialysis	Adv. Perit. Dial.	Adv Perit Dial	
Advances in Pest Control Research	Adv. Pest Control Res.	Adv Pest Control Res	
Advances in Pharmaceutical Sciences	Adv. Pharm. Sci.	Adv Pharm Sci	
Advances in Pharmacology	Adv. Pharmacol.	Adv Pharmacol	
Advances in Pharmacology and Chemotherapy	Adv. Pharmacol. Chemother.	Adv Pharmacol Chemother	Advances in Pharmacology & Chemotherapy
Advances in Planned Parenthood	Adv. Plan. Parent.	Adv Plan Parent	
Advances in Prostaglandin and Thromboxane Research	Adv. Prostaglandin Thromboxane Res.	Adv Prostaglandin Thromboxane Res	Advances in Prostaglandin & Thromboxane Research
Advances in Prostaglandin, Thromboxane, and Leukotriene Research	Adv. Prostaglandin. Thromboxane. Leukot. Res.	Adv Prostaglandin Thromboxane Leukot Res	Advances in Prostaglandin, Thromboxane, & Leukotriene Research
Advances in Protein Chemistry	Adv. Protein Chem.	Adv Protein Chem	
Advances in Psychobiology	Adv. Psychobiol.	Adv Psychobiol	
Advances in Psychosomatic Medicine	Adv. Psychosom. Med.	Adv Psychosom Med	
Advances in Renal Replacement Therapy	Adv. Ren. Replace. Ther.	Adv Ren Replace Ther	
Advances in Reproductive Physiology	Adv. Reprod. Physiol.	Adv Reprod Physiol	
Advances in Second Messenger and Phosphoprotein Research	Adv. Second Messenger Phosphoprotein Res.	Adv Second Messenger Phosphoprotein Res	Advances in Second Messenger & Phosphoprotein Research
Advances in Sex Hormone Research	Adv. Sex Horm. Res.	Adv Sex Horm Res	
Advances in Shock Research	Adv. Shock Res.	Adv Shock Res	
Advances in Socio-Dental Research	Adv. Sociodent. Res.	Adv Sociodent Res	
Advances in Space Biology and Medicine	Adv. Space Biol. Med.	Adv Space Biol Med	Advances in Space Biology & Medicine
Advances in Steroid Biochemistry and Pharmacology	Adv. Steroid Biochem. Pharmacol.	Adv Steroid Biochem Pharmacol	Advances in Steroid Biochemistry & Pharmacology
Advances in Surgery	Adv. Surg.	Adv Surg	
Advances in the Biosciences	Adv. Biosci.	Adv Biosci	
Advances in Therapy	Adv. Ther.	Adv Ther	
Advances in Tracer Methodology	Adv. Tracer Methodol.	Adv Tracer Methodol	
Advances in Tuberculosis Research	Adv. Tuberc. Res.	Adv Tuberc Res	
Advances in Veterinary Medicine	Adv. Vet. Med.	Adv Vet Med	
Advances in Veterinary Science	Adv. Vet. Sci.	Adv Vet Sci	
Advances in Veterinary Science and Comparative Medicine	Adv. Vet. Sci. Comp. Med.	Adv Vet Sci Comp Med	Advances in Veterinary Science & Comparative Medicine
Advances in Virus Research	Adv. Virus Res.	Adv Virus Res	
Advances in Wound Care	Adv. Wound Care	Adv Wound Care	
Advancing Clinical Care	Adv. Clin. Care	Adv Clin Care	
Adverse Drug Reactions and Acute Poisoning Reviews	Adverse Drug React. Acute Poisoning Rev.	Adverse Drug React Acute Poisoning Rev	Adverse Drug Reactions & Acute Poisoning Reviews
Adverse Drug Reactions and Toxicological Reviews	Adverse Drug React. Toxicol. Rev.	Adverse Drug React Toxicol Rev	Adverse Drug Reactions & Toxicological Reviews
Advertising Age	Advert. Age	Advert Age	
Aeromedical Review	Aeromed. Rev.	Aeromed Rev	
Aerospace Medicine	Aerosp. Med.	Aerosp Med	
Aesthetic Plastic Surgery	Aesthetic Plast. Surg.	Aesthetic Plast Surg	
AFL-CIO American Federationist	AFL. CIO Am. Fed.	AFL CIO Am Fed	
African Dental Journal	Afr. Dent. J.	Afr Dent J	
African Journal of Medical Sciences	Afr. J. Med. Sci.	Afr J Med Sci	
African Journal of Medicine and Medical Sciences	Afr. J. Med. Med. Sci.	Afr J Med Med Sci	African Journal of Medicine & Medical Sciences
African Journal of Psychiatry. Le Journal Africain de Psychiatrie	Afr. J. Psychiatry.	Afr J Psychiatry	
African Journal of Reproductive Health	Afr. J. Reprod. Health	Afr J Reprod Health	
Age and Ageing	Age Ageing	Age Ageing	Age & Ageing
Aged Care and Services Review	Aged Care Serv. Rev.	Aged Care Serv Rev	Aged Care & Services Review
Agents and Actions	Agents Actions	Agents Actions	Agents & Actions
Agents and Actions. Supplements	Agents Actions. Suppl.	Agents Actions Suppl	Agents & Actions. Supplements
Aggiornamenti Clinico Terapeutici	Aggiorn. Clinico Ter.	Aggiorn Clinico Ter	
Aging	Aging (Milano).	Aging (Milano)	
Aging and Leisure Living	Aging Leis. Living	Aging Leis Living	Aging & Leisure Living
Agnes Karll-Schwester. Der Krankenpfleger	Agnes Karll. Schwest. Krankenpfleger	Agnes Karll Schwest Krankenpfleger	
Agressologie	Agressologie	Agressologie	
Agricultural and Biological Chemistry	Agric. Biol. Chem.	Agric Biol Chem	Agricultural & Biological Chemistry
Agrup Odontol Cap Fed (B Aires)	Agrup Odontol Cap Fed (B Aires)	Agrup Odontol Cap Fed (B Aires)	
AHA Hospital Technology Series	AHA Hosp. Technol. Ser.	AHA Hosp Technol Ser	
AHME Journal	AHME J.	AHME J	
Ahot Be-Yisrael	Ahot Beyisrael.	Ahot Beyisrael	
AIA Journal	AIA J.	AIA J	
Aichi Gakuin Daigaku Shigakkai Shi. Aichi-Gakuin Journal of Dental Science	Aichi Gakuin Daigaku Shigakkai Shi.	Aichi Gakuin Daigaku Shigakkai Shi	
Aichi-Gakuin Dental Science	Aichi. Gakuin Dent. Sci.	Aichi Gakuin Dent Sci	
AIDS	AIDS	AIDS	
AIDS Care	AIDS Care	AIDS Care	
AIDS Clinical Review	AIDS Clin. Rev.	AIDS Clin Rev	
AIDS Education and Prevention	AIDS Educ. Prev.	AIDS Educ Prev	AIDS Education & Prevention
Aids Patient Care and STDS	Aids Patient Care STDS	Aids Patient Care STDS	Aids Patient Care & STDS
AIDS Research	AIDS Res.	AIDS Res	
AIDS Research and Human Retroviruses	AIDS Res. Hum. Retroviruses	AIDS Res Hum Retroviruses	AIDS Research & Human Retroviruses
Air and Waste	Air Waste	Air Waste	Air & Waste
Air and Water Pollution	Air Water Pollut.	Air Water Pollut	Air & Water Pollution
Air Medical Journal	Air Med. J.	Air Med J	
AJNR. American Journal of Neuroradiology	AJNR. Am. J. Neuroradiol.	AJNR Am J Neuroradiol	
AJR. American Journal of Roentgenology	AJR. Am. J. Roentgenol.	AJR Am J Roentgenol	
AJS. American Journal of Sociology	AJS.	AJS	
Aktuelle Gerontologie	Aktuelle Gerontol.	Aktuelle Gerontol	
Aktuelle Oto-Rhino-Laryngologie	Aktuelle Otorhinolaryngol.	Aktuelle Otorhinolaryngol	
Aktuelle Probleme in Chirurgie und Orthopadie	Aktuelle Probl. Chir. Orthop.	Aktuelle Probl Chir Orthop	
Aktuelle Probleme in der Chirurgie	Aktuelle Probl. Chir.	Aktuelle Probl Chir	
Aktuelle Radiologie	Aktuelle Radiol.	Aktuelle Radiol	
Aktuelle Traumatologie	Aktuelle Traumatol.	Aktuelle Traumatol	
Akusherstvo i Ginekologiia	Akush. Ginekol. (Sofiia).	Akush Ginekol (Sofiia)	
Alabama Journal of Medical Sciences	Ala. J. Med. Sci.	Ala J Med Sci	
Alabama Medicine	Ala. Med.	Ala Med	
Alabama Nurse	Ala. Nurse	Ala Nurse	
ALAFO; Revista de la Asociacion Latino Americana de Facultades de Odontologia	ALAFO.	ALAFO	
Alaska Medicine	Alaska Med.	Alaska Med	
Alaska Nurse	Alaska Nurse	Alaska Nurse	
Albany Law Review	Albany Law Rev.	Albany Law Rev	
Albrecht Von Graefes Archiv fur Klinische und Experimentelle Ophthalmologie	Albrecht Von Graefes Arch. Klin. Exp. Ophthalmol.	Albrecht Von Graefes Arch Klin Exp Ophthalmol	
Alcohol	Alcohol	Alcohol	
Alcohol and Alcoholism	Alcohol Alcohol	Alcohol Alcohol	Alcohol & Alcoholism
Alcohol and Alcoholism. Supplement	Alcohol Alcohol Suppl.	Alcohol Alcohol Suppl	Alcohol & Alcoholism. Supplement
Alcohol and Drug Research	Alcohol Drug Res.	Alcohol Drug Res	Alcohol & Drug Research
Alcohol Health and Research World	Alcohol Health Res. World	Alcohol Health Res World	Alcohol Health & Research World
Alcoholism, Clinical and Experimental Research	Alcohol. Clin. Exp. Res.	Alcohol Clin Exp Res	Alcoholism, Clinical & Experimental Research
Alergia	Alergia	Alergia	
Alexandria Dental Journal	Alex. Dent. J.	Alex Dent J	
Alimentary Pharmacology and Therapeutics	Aliment. Pharmacol. Ther.	Aliment Pharmacol Ther	Alimentary Pharmacology & Therapeutics
Alimentation et la Vie	Aliment. Vie	Aliment Vie	
Allergie et Immunologie	Allerg. Immunol. (Paris).	Allerg Immunol (Paris)	
Allergie und Asthma	Allerg. Asthma (Leipz).	Allerg Asthma (Leipz)	
Allergie und Asthmaforschung	Allerg. Asthmaforsch.	Allerg Asthmaforsch	
Allergie und Immunologie	Allerg. Immunol. (Leipz).	Allerg Immunol (Leipz)	
Allergologia et Immunopathologia	Allergol. Immunopathol. (Madr).	Allergol Immunopathol (Madr)	
Allergy	Allergy	Allergy	
Allergy and Asthma Proceedings	Allergy Asthma Proc.	Allergy Asthma Proc	Allergy & Asthma Proceedings
Allergy Proceedings	Allergy Proc.	Allergy Proc	
Allied Health and Behavioral Sciences	Allied Health Behav. Sci.	Allied Health Behav Sci	Allied Health & Behavioral Sciences
Alma Mater	Alma Mater (Baltimore).	Alma Mater (Baltimore)	
Alpha Omega France	Alpha Omega Fr.	Alpha Omega Fr	
Alpha Omegan	Alpha Omegan	Alpha Omegan	
Altern und Entwicklung. Aging and Development	Altern Entwickl. Aging Dev.	Altern Entwickl Aging Dev	Altern und Entwicklung. Aging & Development
Alternative Medicine Review	Altern. Med. Rev.	Altern Med Rev	
Alternative Therapies in Health and Medicine	Altern. Ther. Health Med.	Altern Ther Health Med	Alternative Therapies in Health & Medicine
Alumnae Magazine; Columbia University-Presbyterian Hospital School of Nursing Alumnae Association	Alumnae Mag. Columbia Univ. Presbyt. Hosp. Sch. Nurs. Alumnae Assoc.	Alumnae Mag Columbia Univ Presbyt Hosp Sch Nurs Alumnae Assoc	
Alumnae Magazine - Johns Hopkins Hospital School of Nursing Alumnae Association	Alumnae Mag. Johns Hopkins Hosp. Sch. Nurs. Alumnae Assoc.	Alumnae Mag Johns Hopkins Hosp Sch Nurs Alumnae Assoc	
Alumni Bulletin - School of Dentistry, Indiana University	Alumni Bull. Sch. Dent. Indiana Univ.	Alumni Bull Sch Dent Indiana Univ	
Alumni Bulletin; University of Michigan School of Dentistry	Alumni Bull. Univ. Mich. Sch. Dent.	Alumni Bull Univ Mich Sch Dent	
Alumni Magazine	Alumni Mag.	Alumni Mag	
Alumni Magazine / Columbia University-Presbyterian Hospital School of Nursing Alumni Association	Alumni Mag. Columbia Univ. Presbyt. Hosp. Sch. Nurs. Alumni Assoc.	Alumni Mag Columbia Univ Presbyt Hosp Sch Nurs Alumni Assoc	
Alzheimer Disease and Associated Disorders	Alzheimer Dis. Assoc. Disord.	Alzheimer Dis Assoc Disord	Alzheimer Disease & Associated Disorders
AM Reports	AM Rep.	AM Rep	
AMB; Revista da Associacao Medica Brasileira	AMB. Rev. Assoc. Med. Bras.	AMB Rev Assoc Med Bras	
Ambulatory Care	Ambul. Care	Ambul Care	
Ambulatory Outreach	Ambul. Outreach	Ambul Outreach	
AMD-TR Reports	AMD. TR Rep.	AMD TR Rep	
AMDI Bollettino	AMDI Boll.	AMDI Boll	
American Annals of the Deaf	Am. Ann. Deaf	Am Ann Deaf	
American Archives of Rehabilitation Therapy	Am. Arch. Rehabil. Ther.	Am Arch Rehabil Ther	
American Association of Industrial Nurses Journal	Am. Assoc. Ind. Nurses J.	Am Assoc Ind Nurses J	
American Behavioral Scientist	Am. Behav. Sci.	Am Behav Sci	
American Biotechnology Laboratory	Am. Biotechnol. Lab.	Am Biotechnol Lab	
American Clinical Laboratory	Am. Clin. Lab.	Am Clin Lab	
American College of Physicians Observer	Am. Coll. Physicians Obs.	Am Coll Physicians Obs	
American Corrective Therapy Journal	Am. Correct. Ther. J.	Am Correct Ther J	
American Demographics	Am. Demogr.	Am Demogr	
American Economic Review	Am. Econ. Rev.	Am Econ Rev	
American Education	Am. Educ.	Am Educ	
American Family Physician	Am. Fam. Physician	Am Fam Physician	
American Family Physician/GP	Am. Fam. Physician. GP	Am Fam Physician GP	
American Heart Journal	Am. Heart J.	Am Heart J	
American Imago	Am. Imago	Am Imago	
American Indian and Alaska Native Mental Health Research	Am. Indian Alsk. Native Ment. Health Res.	Am Indian Alsk Native Ment Health Res	American Indian & Alaska Native Mental Health Research
American Indian and Alaska Native Mental Health Research. Monograph Series	Am. Indian Alsk. Native Ment. Health Res. Monogr. Ser.	Am Indian Alsk Native Ment Health Res Monogr Ser	American Indian & Alaska Native Mental Health Research. Monograph Series
American Industrial Hygiene Association Journal	Am. Ind. Hyg. Assoc. J.	Am Ind Hyg Assoc J	
American Journal of Anatomy	Am. J. Anat.	Am J Anat	
American Journal of Anesthesiology	Am. J. Anesthesiol.	Am J Anesthesiol	
American Journal of Art Therapy	Am. J. Art Ther.	Am J Art Ther	
American Journal of Botany	Am. J. Bot.	Am J Bot	
American Journal of Cardiac Imaging	Am. J. Card. Imaging	Am J Card Imaging	
American Journal of Cardiology	Am. J. Cardiol.	Am J Cardiol	
American Journal of Cardiovascular Pathology	Am. J. Cardiovasc. Pathol.	Am J Cardiovasc Pathol	
American Journal of Chinese Medicine	Am. J. Chin. Med.	Am J Chin Med	
American Journal of Clinical Hypnosis	Am. J. Clin. Hypn.	Am J Clin Hypn	
American Journal of Clinical Nutrition	Am. J. Clin. Nutr.	Am J Clin Nutr	
American Journal of Clinical Oncology	Am. J. Clin. Oncol.	Am J Clin Oncol	
American Journal of Clinical Pathology	Am. J. Clin. Pathol.	Am J Clin Pathol	
American Journal of Community Psychology	Am. J. Community Psychol.	Am J Community Psychol	
American Journal of Contact Dermatitis	Am. J. Contact Dermat.	Am J Contact Dermat	
American Journal of Critical Care	Am. J. Crit. Care	Am J Crit Care	
American Journal of Dentistry	Am. J. Dent.	Am J Dent	
American Journal of Dermatopathology	Am. J. Dermatopathol.	Am J Dermatopathol	
American Journal of Digestive Diseases	Am. J. Dig. Dis.	Am J Dig Dis	
American Journal of Diseases of Children	Am. J. Dis. Child.	Am J Dis Child	
American Journal of Drug and Alcohol Abuse	Am. J. Drug Alcohol Abuse	Am J Drug Alcohol Abuse	American Journal of Drug & Alcohol Abuse
American Journal of Economics and Sociology	Am. J. Econ. Sociol.	Am J Econ Sociol	American Journal of Economics & Sociology
American Journal of EEG Technology	Am. J. EEG Technol.	Am J EEG Technol	
American Journal of Emergency Medicine	Am. J. Emerg. Med.	Am J Emerg Med	
American Journal of Epidemiology	Am. J. Epidemiol.	Am J Epidemiol	
American Journal of Forensic Medicine and Pathology	Am. J. Forensic Med. Pathol.	Am J Forensic Med Pathol	American Journal of Forensic Medicine & Pathology
American Journal of Gastroenterology	Am. J. Gastroenterol.	Am J Gastroenterol	
American Journal of Geriatric Psychiatry	Am. J. Geriatr. Psychiatry	Am J Geriatr Psychiatry	
American Journal of Health Planning	Am. J. Health Plann.	Am J Health Plann	
American Journal of Health Promotion	Am. J. Health Promot.	Am J Health Promot	
American Journal of Health-System Pharmacy	Am. J. Health. Syst. Pharm.	Am J Health Syst Pharm	
American Journal of Hematology	Am. J. Hematol.	Am J Hematol	
American Journal of Hospice and Palliative Care	Am. J. Hosp. Palliat. Care	Am J Hosp Palliat Care	American Journal of Hospice & Palliative Care
American Journal of Hospice Care	Am. J. Hosp. Care	Am J Hosp Care	
American Journal of Hospital Pharmacy	Am. J. Hosp. Pharm.	Am J Hosp Pharm	
American Journal of Human Genetics	Am. J. Hum. Genet.	Am J Hum Genet	
American Journal of Hypertension	Am. J. Hypertens.	Am J Hypertens	
American Journal of Industrial Medicine	Am. J. Ind. Med.	Am J Ind Med	
American Journal of Infection Control	Am. J. Infect. Control	Am J Infect Control	
American Journal of Kidney Diseases	Am. J. Kidney Dis.	Am J Kidney Dis	
American Journal of Knee Surgery	Am. J. Knee Surg.	Am J Knee Surg	
American Journal of Law and Medicine	Am. J. Law Med.	Am J Law Med	American Journal of Law & Medicine
American Journal of Managed Care	Am. J. Manag. Care	Am J Manag Care	
